date	datetime	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Air_Temperature_celsius	Dewpoint_Air_Temperature_Celsius	Ten_Meter_Elevation_Wind_Speed_meterPerSecond
1995-01-01	1	79.92460876128001	-6.942217678555555	-11.647183838333333	5.482823588722222
1995-01-02	2	157.95323987472003	-10.202912393583333	-14.176691776333334	4.696909517125
1995-01-03	3	146.11817037528002	-10.734579468125	-15.129307568208334	5.309332903708333
1995-01-04	4	148.26326248224	-17.264995957083332	-22.79236036925	5.381158580208333
1995-01-05	5	164.88151199568003	-17.082080586666667	-20.861283752666665	5.579974052375
1995-01-06	6	74.34914447016001	-8.843747202791667	-10.949670420458332	5.187098674125
1995-01-07	7	166.1332324212	-8.709581757083333	-11.156093318333333	3.4684736813333332
1995-01-08	8	174.05719327440002	-14.350823465416667	-17.222488582833332	3.992729179
1995-01-09	9	159.18753543696002	-15.678749465833333	-19.126703485333334	2.44477058675
1995-01-10	10	113.99580066744001	-8.489572906416667	-10.541527295749999	3.6160065762083335
1995-01-11	11	153.19058532552	-5.9787417095	-6.6929780176666664	3.2019599575
1995-01-12	12	146.25460629	-2.4512415568333332	-2.874865946	2.5289593614583334
1995-01-13	13	145.31371380864002	-1.9387433370416667	-2.6434507337916666	2.317195514208333
1995-01-14	14	113.7639591864	-1.4883280435833333	-2.4690308965833334	4.462953444791666
1995-01-15	15	180.859030326	-5.991239929083333	-6.961419495583334	3.2742071764166667
1995-01-16	16	170.15954425200002	-7.127081298666667	-8.072993427583333	3.2453587312916667
1995-01-17	17	174.52627211592002	-2.016657257125	-3.184958084541667	6.605921987833334
1995-01-18	18	186.71896802232	-4.077494049125	-6.813912284958334	3.365349934666667
1995-01-19	19	104.84431347888001	-4.06207631425	-6.678418729166667	5.084043194291667
1995-01-20	20	128.42345049912	-4.028331502333334	-6.393379960583333	7.164102908958333
1995-01-21	21	83.1179525796	-6.2137474059999995	-8.87812602875	6.7644768554166665
1995-01-22	22	67.97138406192	-7.511248016291667	-10.036972373875	5.472646476333333
1995-01-23	23	114.38351778888001	-6.936660512291667	-9.537348140875	3.7290230685
1995-01-24	24	205.93144776096003	-12.734992726291667	-15.551679825875	3.10729781775
1995-01-25	25	192.18427129368	-10.8266573585	-14.836027756083332	2.2847249309166666
1995-01-26	26	210.70850371848002	-12.617493692625	-16.594954592958334	2.79774889725
1995-01-27	27	196.7211370224	-10.211658223458333	-13.241410788625	3.161470506375
1995-01-28	28	210.25778301216002	-4.987079365916666	-6.623285244583333	5.279576957875
1995-01-29	29	178.573678524	-10.674988810375	-12.652929700541666	3.02327195625
1995-01-30	30	213.26680591704002	-9.547499085875	-11.549741279541667	2.8914191644583336
1995-01-31	31	212.11574530024802	-6.884575907458333	-7.987808498958334	5.018614874
1995-02-01	32	208.40349493764	-3.076661173583333	-4.250718164	3.402043174416667
1995-02-02	33	186.65438750726403	-5.9245780945833335	-8.224319171416667	2.032942824375
1995-02-03	34	145.89676757376	-6.067912801	-8.006344553166667	2.1739550605
1995-02-04	35	175.0131338292	-7.088744862833333	-11.785028683916666	7.9647182132916665
1995-02-05	36	231.25140473256002	-15.09583066375	-19.9599125625	5.722308665041666
1995-02-06	37	232.98069589416002	-17.29124552458333	-21.291487503916667	3.587781243958333
1995-02-07	38	133.53645588048002	-14.19833221375	-17.951634357833335	4.621644524333333
1995-02-08	39	235.32177638808002	-15.504996997916667	-20.18771536425	5.259872092625
1995-02-09	40	152.19302480640002	-9.177081806791666	-11.334025322791666	4.956428847583333
1995-02-10	41	220.44643039512002	-3.9887502033333333	-6.652372318	6.403295591291666
1995-02-11	42	209.3081764536	-15.168331527333333	-22.659574451333334	8.1485017145
1995-02-12	43	204.71507748576002	-17.829581960416668	-22.654395539333333	4.621313114708333
1995-02-13	44	220.15029473496003	-14.623329544583333	-18.949072535583333	4.697555742583333
1995-02-14	45	192.57450925464	-12.885829670583334	-17.292534591666666	3.2215131466666667
1995-02-15	46	149.92027158096002	-5.656659189958333	-7.374583556625	5.095937465791667
1995-02-16	47	233.73266500224003	-9.96082789075	-12.923426503583334	2.99369347975
1995-02-17	48	248.21352353714403	-8.258743031958334	-10.527504954541666	3.841619066583333
1995-02-18	49	251.97515875044002	-3.1904090881666667	-5.783242460583333	5.302015684375
1995-02-19	50	257.55063003648	-0.9412419637083334	-3.601972551375	3.806597194
1995-02-20	51	249.747620976	0.13417205804166665	-2.3238915042916664	4.627949256833333
1995-02-21	52	181.87336485144002	-4.259162648583334	-8.779959821666667	6.02286539
1995-02-22	53	235.35899821008002	-2.434166971875	-5.728093910708333	3.1943206489166664
1995-02-23	54	257.92365728808005	0.292925771125	-3.6855710939583335	4.066584946333333
1995-02-24	55	240.75784836288003	-2.1924906412916667	-10.773031125875	6.632717421083333
1995-02-25	56	134.44653467088003	-0.7245773315416667	-4.794417205541667	3.8524878723333336
1995-02-26	57	222.97082340672003	-2.981663767541667	-6.897648819125	6.871793972625
1995-02-27	58	200.27354246640002	-1.7445803325	-5.2268395685	4.768597372375
1995-02-28	59	140.85359980272003	-2.517914835625	-8.068768787125	5.184641467833333
1995-03-01	60	284.47272015408004	-10.364160919625	-21.420378630625	7.101782536041666
1995-03-02	61	333.1360066284	-11.936239624125	-22.346872236375	4.1172719610833335
1995-03-03	62	333.98884974384003	-8.469161732708333	-15.108292771958332	3.548102355708333
1995-03-04	63	287.72762036904	-4.131244405083334	-11.949790516333334	3.0176684560416667
1995-03-05	64	150.52586435711999	-1.39208196	-4.221008250583333	3.7280930327083333
1995-03-06	65	253.51991893872002	-1.7708254494583333	-3.6965051772083335	3.214323476
1995-03-07	66	250.96413538008002	-2.49915924075	-4.578418968749999	4.9952412302499996
1995-03-08	67	267.5334256848	-6.639580790125	-10.068101732625	5.344643851708334
1995-03-09	68	314.99272430352005	-8.224157714708333	-12.266291006874999	2.718709527166667
1995-03-10	69	349.44538073616	-2.5612459817083333	-5.4912353681249995	6.123691444
1995-03-11	70	348.05210284296004	3.4379249570833332	-0.9322324569166666	5.93057637725
1995-03-12	71	266.17543011792003	6.2254247031666665	2.0680368036666668	5.277595515375
1995-03-13	72	219.46457098080003	9.709591166041667	4.303659054291667	5.167666151416666
1995-03-14	73	344.38384644336	10.919590250541667	4.7506430946250005	3.3517182857083334
1995-03-15	74	275.07233056392	12.673758443458334	6.824495244208333	2.068268076083333
1995-03-16	75	328.445210088	11.049588776083333	4.990055994166666	1.9594393572916666
1995-03-17	76	188.32925005344	7.233340199791667	2.170279966291667	2.6319157951666665
1995-03-18	77	212.05620184269603	6.869585927666667	1.6754876949166668	3.50956595325
1995-03-19	78	342.853922809656	7.958331045	4.292688175583334	2.25845671575
1995-03-20	79	146.161222067016	8.776671345666667	6.070572751833334	4.433600542083333
1995-03-21	80	300.99743607376803	4.4129132589583335	0.03357736612499995	7.301640034166667
1995-03-22	81	384.14246715432	3.8866757710833335	-1.6703528294166665	3.921045413625
1995-03-23	82	355.69461538540804	3.5825108845416667	-1.0774529660416667	4.34464393175
1995-03-24	83	409.8224902122	2.6854237874166667	-3.8569268788333333	2.5575997870833334
1995-03-25	84	286.68600011916004	3.380846914	-3.9613044194166664	3.7604546572083333
1995-03-26	85	132.09379385724	4.457084910041667	-1.181790703875	5.203380471166667
1995-03-27	86	97.90790421060001	2.8083358765833335	-0.9355225034166668	7.5650298994166665
1995-03-28	87	100.426823682336	1.420004781125	-0.5843720008750001	3.1481450494583334
1995-03-29	88	145.62316839333602	1.6795936585	-1.0044535648333333	2.747239403875
1995-03-30	89	237.7609909704	2.332504526875	-2.3412480130416666	3.4294067970833333
1995-03-31	90	230.94230136696	1.4858451845	-4.011984649583333	3.813376296625
1995-04-01	91	185.87815226568003	1.8241744995	-4.285978420583334	2.686263227
1995-04-02	92	273.24497475509764	5.0228051758	-1.19984883236	3.09231624456
1995-04-03	93	408.85006310568	9.830834961666667	2.2165236556666668	5.6799113065
1995-04-04	94	429.57432188208	-4.1491658527499995	-15.34777538875	8.874084553458333
1995-04-05	95	222.20798414616002	-4.88666127525	-15.123123202083333	4.2091606016666665
1995-04-06	96	411.94289163024	4.396670277875	-2.4392847129583335	4.24231487125
1995-04-07	97	170.40592844640003	3.3316652933333333	-2.15139018825	3.752080052458333
1995-04-08	98	208.57543135272002	4.2466700235833335	1.8690081786666666	3.9047920979583335
1995-04-09	99	331.62242403960005	2.059167480416667	-2.623982292833333	7.220450999833333
1995-04-10	100	160.16565466656002	-0.7795789081666666	-4.193249174583333	8.476408854291666
1995-04-11	101	208.78660629432002	2.7591784159583335	0.45745238004166655	6.365548879625
1995-04-12	102	159.98932714896	5.028342183375	1.9132886865416665	5.731872485125
1995-04-13	103	445.72830743160006	5.368343607458334	0.30363362795833315	7.006817037666667
1995-04-14	104	452.30659002360005	5.5187583927083335	-1.5284475156250001	3.595954021583333
1995-04-15	105	316.17734518080005	5.603344217458333	-1.5770895985416666	6.546503529208334
1995-04-16	106	375.39122594040003	10.04834009825	4.149895472916667	3.005930998958333
1995-04-17	107	350.7572183616	10.808339691541667	7.232753388875	1.6073021315
1995-04-18	108	268.8037179408	11.018755849458334	7.3105185642083335	6.813744710541667
1995-04-19	109	381.15338185008005	8.082093811541666	3.3955021712083338	6.487209035416667
1995-04-20	110	232.08948110016001	6.4279215494583335	2.0740523662083334	5.0296404192083335
1995-04-21	111	251.80711386624003	5.602925872875	3.812238997291667	4.053673703791667
1995-04-22	112	425.85055278120007	7.636257426375	2.0870340877916664	4.155421024041667
1995-04-23	113	461.43914886000005	7.348341877375	0.3562496406250001	2.734626834708333
1995-04-24	114	283.25447534016	8.040004984833333	0.45107880583333365	3.1249482861666666
1995-04-25	115	366.00148801512	6.652506765	0.7185771858333333	3.921708497875
1995-04-26	116	154.23595312968	7.472922261125	4.899793366958334	2.90782232775
1995-04-27	117	173.10564074304	6.655839538708333	3.9713484802083334	6.06366724075
1995-04-28	118	350.30318554008005	8.129172261666668	2.3462699154166673	3.296175548
1995-04-29	119	153.52588861920003	9.689171091708333	3.6369336273750004	2.391645362208333
1995-04-30	120	383.2521823998	8.217089589166667	3.65368922775	3.843439819375
1995-05-01	121	272.165905296216	6.587920125291666	2.9203059527083335	3.72316096125
1995-05-02	122	261.91807230074403	7.730011240375	2.481899709625	2.7014492330833333
1995-05-03	123	283.506404657184	9.963344827541667	2.0318151875416666	1.46057225975
1995-05-04	124	205.599602042064	10.715839639916666	4.713234309	1.4982552980416668
1995-05-05	125	408.19579286544	11.064178720833333	5.350492768583333	4.222216926458334
1995-05-06	126	451.25056273176006	11.770417785083334	4.351264588833333	1.99139521325
1995-05-07	127	219.69446305968	14.476668294166666	8.597148817833334	3.346779735458333
1995-05-08	128	116.34811255339201	10.769591268041667	8.484123709541667	7.6395211637500005
1995-05-09	129	373.835231588736	10.304170227208333	8.274796125958334	6.526321610208333
1995-05-10	130	114.06859118791202	9.574587758291667	8.017142065375001	5.1916311200416665
1995-05-11	131	402.76749576852006	11.393755849291667	7.448190055291667	3.600018573208333
1995-05-12	132	498.30832541944807	14.125004068791666	7.889382927458334	3.4857029201666667
1995-05-13	133	255.02968546257603	13.262090301375	10.755359455208334	6.684773468958333
1995-05-14	134	398.74658436936005	16.34333826625	12.492631451916667	7.354221829375
1995-05-15	135	520.4660388804	13.433758036791668	7.155938076291666	3.7173764726666665
1995-05-16	136	461.17425532248	16.332921601041665	11.315629126875	4.429244284458333
1995-05-17	137	502.10977752410406	15.071257527125	10.027201222791666	5.021338712583334
1995-05-18	138	410.08226413248	9.828335062333334	3.6228720424999996	3.696384441375
1995-05-19	139	535.77043684128	14.002913411458334	6.365204185125	3.7099409795833336
1995-05-20	140	530.30469766536	13.962091063708334	7.284479453958333	5.331039176458333
1995-05-21	141	540.5682225024001	11.269166565541667	3.8549717412916666	4.824227831291667
1995-05-22	142	389.62583870904	14.060840861166668	6.281090271166667	3.3271986685
1995-05-23	143	143.64676916208	13.9379211425	11.475172055416667	3.874008165458333
1995-05-24	144	310.81924456336804	10.875835672333334	7.597726512416667	3.2190303915
1995-05-25	145	484.98147937152004	12.177083587666667	8.111410496333333	3.010315617625
1995-05-26	146	360.90914612688005	11.670419311625	7.617347600041667	2.945527236875
1995-05-27	147	143.36128715976002	10.800428009416667	8.594161623333333	5.64788129125
1995-05-28	148	350.4391934724	16.755005137083334	14.2431290465	4.907997268333333
1995-05-29	149	389.52079534224004	13.771676635416666	9.993162990250001	5.5301261347083335
1995-05-30	150	542.2764245875201	16.60876235975	10.38965715425	3.145520708875
1995-05-31	151	525.0754033740001	18.773343657916666	11.2746530385	2.7146331023333334
1995-06-01	152	232.21778576760002	19.58542531375	13.532693312333333	1.8016752492499999
1995-06-02	153	328.63139785224	18.608336385	14.252623545916666	2.2660330795
1995-06-03	154	433.64563275240005	19.746247863333334	14.92064877975	1.86119283775
1995-06-04	155	536.8772818015201	19.867923991666665	15.186353140249999	2.6292887497083335
1995-06-05	156	491.5276589426401	19.86500193375	14.886401443333334	3.3245051434583335
1995-06-06	157	370.60740087336006	20.792091624166666	16.61137369291667	4.29763598925
1995-06-07	158	406.32054524640006	23.222512816666665	19.059024925666666	3.2814005701249997
1995-06-08	159	336.70850562936005	13.102924600916667	10.2751920395	5.214811068208333
1995-06-09	160	359.61768429336	13.043757375125	9.099379551041666	2.6647012634583334
1995-06-10	161	461.73707968536	17.85209172458333	13.885184844583334	3.73962952875
1995-06-11	162	541.4450449176001	16.6254287725	11.567141776083334	4.562672075291666
1995-06-12	163	553.11444332208	15.15292765225	7.9800279986666665	3.480684515791667
1995-06-13	164	563.02200027144	17.415418244166666	10.073669784166666	2.9277405594583334
1995-06-14	165	555.94051720992	20.326250967083332	12.55419340925	1.772647022375
1995-06-15	166	553.84343371368	21.259591675	14.079584750083333	3.2679782507083335
1995-06-16	167	553.61836560528	21.381253815	15.724924892166667	4.7919464261249995
1995-06-17	168	469.74930551136003	23.0704208375	18.415284354416666	4.848566402833334
1995-06-18	169	524.82600246024	24.76125742625	20.014334327333334	3.9100069061666667
1995-06-19	170	551.06970887736	25.224173482083334	19.003923979083332	3.2075974250416666
1995-06-20	171	550.4811888492001	25.913339234166667	18.957260852583335	2.3504459709583334
1995-06-21	172	549.8938083909601	26.06251297	19.641128514083334	2.4288358674583335
