datetime,Depth_meter,Water_Temperature_celsius
2016-07-15T08:30:00Z,2.0,7.13
2016-07-15T08:30:00Z,4.0,7.5
2016-07-15T08:30:00Z,6.0,7.13
2016-07-15T08:30:00Z,7.0,7.36
2016-07-15T09:00:00Z,0.5,7.72
2016-07-15T09:00:00Z,2.0,7.13
2016-07-15T09:00:00Z,4.0,7.5
2016-07-15T09:00:00Z,6.0,7.13
2016-07-15T09:00:00Z,7.0,7.42
2016-07-15T09:30:00Z,0.5,7.68
2016-07-15T09:30:00Z,2.0,7.13
2016-07-15T09:30:00Z,4.0,7.5
2016-07-15T09:30:00Z,6.0,7.13
2016-07-15T09:30:00Z,7.0,7.26
2016-07-15T10:00:00Z,0.5,7.68
2016-07-15T10:00:00Z,2.0,7
2016-07-15T10:00:00Z,4.0,7.38
2016-07-15T10:00:00Z,6.0,7
2016-07-15T10:00:00Z,7.0,7.38
2016-07-15T10:30:00Z,0.5,7.66
2016-07-15T10:30:00Z,2.0,7
2016-07-15T10:30:00Z,4.0,7.38
2016-07-15T10:30:00Z,6.0,7
2016-07-15T10:30:00Z,7.0,7.18
2016-07-15T11:00:00Z,0.5,7.6
2016-07-15T11:00:00Z,2.0,7
2016-07-15T11:00:00Z,4.0,7.38
2016-07-15T11:00:00Z,6.0,7
2016-07-15T11:00:00Z,7.0,7.2
2016-07-15T11:30:00Z,0.5,7.6
2016-07-15T11:30:00Z,2.0,7
2016-07-15T11:30:00Z,4.0,7.38
2016-07-15T11:30:00Z,6.0,7
2016-07-15T11:30:00Z,7.0,7.26
2016-07-15T12:00:00Z,0.5,7.56
2016-07-15T12:00:00Z,2.0,6.88
2016-07-15T12:00:00Z,4.0,7.25
2016-07-15T12:00:00Z,6.0,6.88
2016-07-15T12:00:00Z,7.0,7.2
2016-07-15T12:30:00Z,0.5,7.5
2016-07-15T12:30:00Z,2.0,6.88
2016-07-15T12:30:00Z,4.0,7.25
2016-07-15T12:30:00Z,6.0,6.88
2016-07-15T12:30:00Z,7.0,7.16
2016-07-15T13:00:00Z,0.5,7.44
2016-07-15T13:00:00Z,2.0,6.88
2016-07-15T13:00:00Z,4.0,7.25
2016-07-15T13:00:00Z,6.0,6.88
2016-07-15T13:00:00Z,7.0,7.08
2016-07-15T13:30:00Z,0.5,7.44
2016-07-15T13:30:00Z,2.0,6.88
2016-07-15T13:30:00Z,4.0,7.25
2016-07-15T13:30:00Z,6.0,6.88
2016-07-15T13:30:00Z,7.0,7
2016-07-15T14:00:00Z,0.5,7.42
2016-07-15T14:00:00Z,2.0,6.88
2016-07-15T14:00:00Z,4.0,7.13
2016-07-15T14:00:00Z,6.0,6.75
2016-07-15T14:00:00Z,7.0,7.2
2016-07-15T14:30:00Z,0.5,7.48
2016-07-15T14:30:00Z,2.0,6.88
2016-07-15T14:30:00Z,4.0,7.13
2016-07-15T14:30:00Z,6.0,6.75
2016-07-15T14:30:00Z,7.0,7.18
2016-07-15T15:00:00Z,0.5,7.5
2016-07-15T15:00:00Z,2.0,6.88
2016-07-15T15:00:00Z,4.0,7.13
2016-07-15T15:00:00Z,6.0,6.75
2016-07-15T15:00:00Z,7.0,6.98
2016-07-15T15:30:00Z,0.5,7.5
2016-07-15T15:30:00Z,2.0,6.88
2016-07-15T15:30:00Z,4.0,7.13
2016-07-15T15:30:00Z,6.0,6.75
2016-07-15T15:30:00Z,7.0,7.1
2016-07-15T16:00:00Z,0.5,NA
2016-07-15T16:00:00Z,2.0,7
2016-07-15T16:00:00Z,4.0,7.13
2016-07-15T16:00:00Z,6.0,6.88
2016-07-15T16:00:00Z,7.0,7.28
2016-07-15T16:30:00Z,0.5,NA
2016-07-15T16:30:00Z,2.0,7
2016-07-15T16:30:00Z,4.0,7.13
2016-07-15T16:30:00Z,6.0,6.88
2016-07-15T16:30:00Z,7.0,7.16
2016-07-15T17:00:00Z,0.5,NA
2016-07-15T17:00:00Z,2.0,7
2016-07-15T17:00:00Z,4.0,7.13
2016-07-15T17:00:00Z,6.0,6.88
2016-07-15T17:00:00Z,7.0,7.26
2016-07-15T17:30:00Z,0.5,NA
2016-07-15T17:30:00Z,2.0,7
2016-07-15T17:30:00Z,4.0,7.13
2016-07-15T17:30:00Z,6.0,6.88
2016-07-15T17:30:00Z,7.0,7.48
