datetime,Depth_meter,Dissolved_oxygen_gram_per_cubicMeter
2016-07-20T23:30:00Z,4.5,7.398
2016-07-21T00:00:00Z,0.5,7.116
2016-07-21T00:00:00Z,4.5,7.42
2016-07-21T00:30:00Z,0.5,7.076
2016-07-21T00:30:00Z,4.5,7.343
2016-07-21T01:00:00Z,0.5,7.056
2016-07-21T01:00:00Z,4.5,7.295
2016-07-21T01:30:00Z,0.5,7.037
2016-07-21T01:30:00Z,4.5,7.355
2016-07-21T02:00:00Z,0.5,7.006
2016-07-21T02:00:00Z,4.5,7.334
2016-07-21T02:30:00Z,0.5,6.989
2016-07-21T02:30:00Z,4.5,7.281
2016-07-21T03:00:00Z,0.5,6.949
2016-07-21T03:00:00Z,4.5,7.212
2016-07-21T03:30:00Z,0.5,6.93
2016-07-21T03:30:00Z,4.5,7.203
2016-07-21T04:00:00Z,0.5,6.913
2016-07-21T04:00:00Z,4.5,7.203
2016-07-21T04:30:00Z,0.5,6.886
2016-07-21T04:30:00Z,4.5,7.184
2016-07-21T05:00:00Z,0.5,6.897
2016-07-21T05:00:00Z,4.5,7.178
2016-07-21T05:30:00Z,0.5,6.883
2016-07-21T05:30:00Z,4.5,7.171
2016-07-21T06:00:00Z,0.5,6.865
2016-07-21T06:00:00Z,4.5,7.154
2016-07-21T06:30:00Z,0.5,6.855
2016-07-21T06:30:00Z,4.5,7.148
2016-07-21T07:00:00Z,0.5,6.86
2016-07-21T07:00:00Z,4.5,7.135
2016-07-21T07:30:00Z,0.5,6.87
2016-07-21T07:30:00Z,4.5,7.14
2016-07-21T08:00:00Z,0.5,6.886
2016-07-21T08:00:00Z,4.5,7.186
2016-07-21T08:30:00Z,0.5,6.925
2016-07-21T08:30:00Z,4.5,7.251
2016-07-21T09:00:00Z,0.5,6.96
2016-07-21T09:00:00Z,4.5,7.284
2016-07-21T09:30:00Z,0.5,6.974
2016-07-21T09:30:00Z,4.5,7.314
2016-07-21T10:00:00Z,0.5,7.017
2016-07-21T10:00:00Z,4.5,7.336
2016-07-21T10:30:00Z,0.5,7.024
2016-07-21T10:30:00Z,4.5,7.352
2016-07-21T11:00:00Z,0.5,7.052
2016-07-21T11:00:00Z,4.5,7.384
2016-07-21T11:30:00Z,0.5,7.146
2016-07-21T11:30:00Z,4.5,7.397
2016-07-21T12:00:00Z,0.5,7.211
2016-07-21T12:00:00Z,4.5,7.503
2016-07-21T12:30:00Z,0.5,7.277
2016-07-21T12:30:00Z,4.5,7.504
2016-07-21T13:00:00Z,0.5,7.187
2016-07-21T13:00:00Z,4.5,7.485
2016-07-21T13:30:00Z,0.5,7.195
2016-07-21T13:30:00Z,4.5,7.924
2016-07-21T14:00:00Z,0.5,7.236
2016-07-21T14:00:00Z,4.5,8.116
2016-07-21T14:30:00Z,0.5,7.226
2016-07-21T14:30:00Z,4.5,8.089
2016-07-21T15:00:00Z,0.5,7.236
2016-07-21T15:00:00Z,4.5,8.038
2016-07-21T15:30:00Z,0.5,7.235
2016-07-21T15:30:00Z,4.5,8.083
2016-07-21T16:00:00Z,0.5,7.203
2016-07-21T16:00:00Z,4.5,8.061
2016-07-21T16:30:00Z,0.5,7.213
2016-07-21T16:30:00Z,4.5,8.126
2016-07-21T17:00:00Z,0.5,7.261
2016-07-21T17:00:00Z,4.5,8.107
2016-07-21T17:30:00Z,0.5,7.263
2016-07-21T17:30:00Z,4.5,8.061
2016-07-21T18:00:00Z,0.5,7.274
2016-07-21T18:00:00Z,4.5,8.071
2016-07-21T18:30:00Z,0.5,7.295
2016-07-21T18:30:00Z,4.5,8.07
2016-07-21T19:00:00Z,0.5,7.308
2016-07-21T19:00:00Z,4.5,8.069
2016-07-21T19:30:00Z,0.5,7.293
2016-07-21T19:30:00Z,4.5,7.843
2016-07-21T20:00:00Z,0.5,7.275
2016-07-21T20:00:00Z,4.5,7.813
2016-07-21T20:30:00Z,0.5,7.273
2016-07-21T20:30:00Z,4.5,7.819
2016-07-21T21:00:00Z,0.5,7.246
2016-07-21T21:00:00Z,4.5,7.77
2016-07-21T21:30:00Z,0.5,7.226
2016-07-21T21:30:00Z,4.5,7.743
2016-07-21T22:00:00Z,0.5,7.239
2016-07-21T22:00:00Z,4.5,7.711
2016-07-21T22:30:00Z,0.5,7.229
2016-07-21T22:30:00Z,4.5,7.629
2016-07-21T23:00:00Z,0.5,7.228
2016-07-21T23:00:00Z,4.5,7.61
2016-07-21T23:30:00Z,0.5,7.25
2016-07-21T23:30:00Z,4.5,7.529
2016-07-22T00:00:00Z,0.5,7.231
2016-07-22T00:00:00Z,4.5,7.476
2016-07-22T00:30:00Z,0.5,7.232
2016-07-22T00:30:00Z,4.5,7.484
2016-07-22T01:00:00Z,0.5,7.238
2016-07-22T01:00:00Z,4.5,7.416
2016-07-22T01:30:00Z,0.5,7.249
2016-07-22T01:30:00Z,4.5,7.465
2016-07-22T02:00:00Z,0.5,7.233
2016-07-22T02:00:00Z,4.5,7.411
2016-07-22T02:30:00Z,0.5,7.221
2016-07-22T02:30:00Z,4.5,7.447
2016-07-22T03:00:00Z,0.5,7.218
2016-07-22T03:00:00Z,4.5,7.467
2016-07-22T03:30:00Z,0.5,7.213
2016-07-22T03:30:00Z,4.5,7.449
2016-07-22T04:00:00Z,0.5,7.21
2016-07-22T04:00:00Z,4.5,7.455
2016-07-22T04:30:00Z,0.5,7.198
2016-07-22T04:30:00Z,4.5,7.431
2016-07-22T05:00:00Z,0.5,7.189
2016-07-22T05:00:00Z,4.5,7.398
2016-07-22T05:30:00Z,0.5,7.129
2016-07-22T05:30:00Z,4.5,7.389
2016-07-22T06:00:00Z,0.5,7.161
2016-07-22T06:00:00Z,4.5,7.392
2016-07-22T06:30:00Z,0.5,7.132
2016-07-22T06:30:00Z,4.5,7.391
2016-07-22T07:00:00Z,0.5,7.072
2016-07-22T07:00:00Z,4.5,7.355
2016-07-22T07:30:00Z,0.5,7.112
2016-07-22T07:30:00Z,4.5,7.434
2016-07-22T08:00:00Z,0.5,7.173
2016-07-22T08:00:00Z,4.5,7.537
2016-07-22T08:30:00Z,0.5,7.188
2016-07-22T08:30:00Z,4.5,7.511
2016-07-22T09:00:00Z,0.5,7.196
2016-07-22T09:00:00Z,4.5,7.536
2016-07-22T09:30:00Z,0.5,7.232
2016-07-22T09:30:00Z,4.5,7.571
2016-07-22T10:00:00Z,0.5,7.278
2016-07-22T10:00:00Z,4.5,7.585
2016-07-22T10:30:00Z,0.5,7.262
2016-07-22T10:30:00Z,4.5,7.615
2016-07-22T11:00:00Z,0.5,7.351
2016-07-22T11:00:00Z,4.5,7.654
2016-07-22T11:30:00Z,0.5,7.326
2016-07-22T11:30:00Z,4.5,7.672
2016-07-22T12:00:00Z,0.5,7.339
2016-07-22T12:00:00Z,4.5,7.692
2016-07-22T12:30:00Z,0.5,7.374
2016-07-22T12:30:00Z,4.5,7.736
2016-07-22T13:00:00Z,0.5,7.398
2016-07-22T13:00:00Z,4.5,7.739
2016-07-22T13:30:00Z,0.5,7.432
2016-07-22T13:30:00Z,4.5,7.756
2016-07-22T14:00:00Z,0.5,7.435
2016-07-22T14:00:00Z,4.5,7.768
2016-07-22T14:30:00Z,0.5,7.424
2016-07-22T14:30:00Z,4.5,7.771
2016-07-22T15:00:00Z,0.5,7.479
2016-07-22T15:00:00Z,4.5,7.82
2016-07-22T15:30:00Z,0.5,7.502
2016-07-22T15:30:00Z,4.5,7.822
2016-07-22T16:00:00Z,0.5,7.473
2016-07-22T16:00:00Z,4.5,7.796
2016-07-22T16:30:00Z,0.5,7.393
2016-07-22T16:30:00Z,4.5,7.825
2016-07-22T17:00:00Z,0.5,7.431
2016-07-22T17:00:00Z,4.5,7.825
2016-07-22T17:30:00Z,0.5,7.44
2016-07-22T17:30:00Z,4.5,7.865
2016-07-22T18:00:00Z,0.5,7.442
2016-07-22T18:00:00Z,4.5,7.85
2016-07-22T18:30:00Z,0.5,7.405
2016-07-22T18:30:00Z,4.5,7.863
2016-07-22T19:00:00Z,0.5,7.406
2016-07-22T19:00:00Z,4.5,7.88
2016-07-22T19:30:00Z,0.5,7.376
2016-07-22T19:30:00Z,4.5,7.877
2016-07-22T20:00:00Z,0.5,7.37
2016-07-22T20:00:00Z,4.5,7.848
2016-07-22T20:30:00Z,0.5,7.352
2016-07-22T20:30:00Z,4.5,7.854
2016-07-22T21:00:00Z,0.5,7.33
2016-07-22T21:00:00Z,4.5,7.839
2016-07-22T21:30:00Z,0.5,7.285
2016-07-22T21:30:00Z,4.5,7.823
2016-07-22T22:00:00Z,0.5,7.268
2016-07-22T22:00:00Z,4.5,7.58
2016-07-22T22:30:00Z,0.5,7.216
2016-07-22T22:30:00Z,4.5,7.542
2016-07-22T23:00:00Z,0.5,7.177
2016-07-22T23:00:00Z,4.5,7.452
2016-07-22T23:30:00Z,0.5,7.12
