"time","n2S-2_1","n2S-2_2","n2S-2_3","n2S-2_4","n2S-2_5","n2S-2_6","n2S-2_7","n2S-2_8","n2S-2_9","n2S-2_10","n2S-2_11","n2S-2_12","n2S-2_13","n2S-2_14","n2S-2_15","n2S-2_16","n2S-2_17","n2S-2_18","n2S-2_19","n2S-2_20","n2S-2_21","n2S-2_22","n2S-2_23","n2S-2_24","n2S-2_25"
2009-06-04 00:00:00,-9.02908861470833e-06,0,-9.56821000970764e-06,7.29004420267512e-05,0.000192546284679824,0.000156827050457617,0.000146599636056767,0.000247234017253788,0.000583725006809302,0.0012337349075599,0.00122021495514866,0.00111733980998449,0.0010200257755666,0.000911365865040588,0.000795581651157122,0.000682223913866781,0.000576722529155502,0.0004804650086945,0.000392552384648615,0.000311218709820653,0.000234482419238824,0.000160439867533093,8.73667900502807e-05,1.37861663039596e-05,NA
2009-06-04 01:00:00,0,-5.95154421605491e-06,-6.81391237282943e-06,2.11195632379861e-05,0.000180065080542627,0.000158826643865688,0.00015522173122469,0.000257720127428689,0.000591741197062455,0.00121035720515552,0.00121665552608912,0.00111750213533053,0.00101953481061354,0.000910893945812121,0.000795431783700654,0.000682316149849606,0.000576931582190678,0.000480706598740753,0.000392781812135715,0.000311415575053317,0.000234638761166693,0.000160553601051721,8.74361739980914e-05,1.38050944918292e-05,NA
2009-06-04 02:00:00,-8.90471662849242e-06,-7.42788352527707e-06,0,-7.85848711332189e-06,0.000143727914774476,0.000160062982015698,0.000163215382300584,0.000267943523233381,0.000598982468063004,0.00118866224198821,0.00121257035288114,0.00111749149636413,0.00101906495564195,0.000910436450909715,0.000795281364262835,0.000682404611102072,0.000577137580530374,0.000480946337063046,0.000393010270153316,0.000311612006099856,0.000234795042183435,0.000160667468341799,8.75054209228012e-05,1.38238387803911e-05,NA
2009-06-04 03:00:00,-7.33146649835934e-06,-9.45767049240982e-06,-4.89459469941923e-06,0,7.95760241215128e-05,0.000158761219189137,0.000170550206516001,0.000277860303066726,0.000605527520026412,0.00116850640730862,0.00120804613190481,0.00111730485824052,0.00101860861292152,0.000909992770022185,0.000795130801077557,0.000682489464803486,0.000577340552822901,0.000481184213016101,0.000393237743810576,0.000311807999930259,0.00023495126177644,0.000160781428902016,8.75745117759437e-05,1.38424276495317e-05,NA
2009-06-04 04:00:00,-5.01051959349384e-06,-7.65792803341161e-06,0,-8.10198531333366e-06,2.18053711759894e-05,0.0001531494198982,0.000177046957095852,0.000287428225280305,0.000611445411651392,0.00114975927278243,0.00120315839118562,0.00111694206964033,0.00101815877525761,0.000909562135906465,0.000794980493339353,0.00068257092107674,0.000577540566622975,0.000481420246810788,0.000393464243231275,0.000312003571921364,0.000235107428594919,0.00016089545412339,8.76434416881175e-05,1.38608842498057e-05,NA
2009-06-04 05:00:00,-6.56505594781964e-06,0,-6.9563729390387e-06,-7.44794658899145e-06,-7.15857479393461e-06,0.000119295602234464,0.000182522154750292,0.000296600958358306,0.000616796220273637,0.00113230212334355,0.00119797280601164,0.00111640516378892,0.0010177089610288,0.000909143565407706,0.000794830745120752,0.000682649158894679,0.000577737667525859,0.000481654439091729,0.000393689762157245,0.000312198722794277,0.000235263536870765,0.000161009511512887,8.77122075328141e-05,1.38792264873723e-05,NA
2009-06-04 06:00:00,-5.02087211102276e-06,-6.42987853136549e-06,0,-6.80238006950222e-06,-8.26550024469115e-06,6.2507333854052e-05,0.00018505623794907,0.000305270011093678,0.000621630213692769,0.00111602687831229,0.00119254659953382,0.00111569802409573,0.00101725336998107,0.000908736015166391,0.000794681870244972,0.000682724414725625,0.000577931955761806,0.000481886835098533,0.000393914330259686,0.000312393480008017,0.000235419598686165,0.00016112358652953,8.77808174533192e-05,1.38974700061689e-05,NA
2009-06-04 07:00:00,-5.66677351308308e-06,-7.19863494645968e-06,0,-7.615948874143e-06,-9.20373173002691e-06,2.199275018098e-05,0.000183940678764474,0.000313646647159203,0.000626311998142599,0.00110110173347139,0.00118713284752277,0.00111497600349122,0.00101689659662698,0.00090841803027984,0.000794591497829142,0.000682837915234397,0.000578152626713203,0.00048213798834001,0.000394152323544293,0.000312597812571293,0.000235582431683069,0.000161242249494983,8.78522740552514e-05,1.39177215427278e-05,NA
2009-06-04 08:00:00,-7.43898464590909e-06,0,-7.88273832104651e-06,-8.47775601150113e-06,-8.19130658376734e-06,3.22335635858135e-06,0.000182262304665038,0.000322648355619154,0.000631723941008909,0.00108813212032686,0.00118230620999668,0.00111463855641011,0.00101692187849557,0.000908397477271464,0.00079471048751484,0.000683097633315307,0.000578476316845767,0.000482461938272002,0.000394441574465089,0.00031283796776118,0.000235770014684724,0.000161377592403519,8.79345045003805e-05,1.39455802301143e-05,NA
2009-06-04 09:00:00,-7.05874237379376e-06,-8.25412935265813e-06,-6.66298214558825e-06,0,-6.95988718550962e-06,4.66311784361221e-06,0.000182388868135158,0.000332813518803799,0.000638328903353415,0.00107738873068479,0.00117837550373886,0.00111489460817896,0.00101747343230134,0.000908781065068691,0.000795117035184438,0.000683559796516619,0.000578943054765264,0.000482886997203126,0.00039480197251831,0.000313127794924733,0.00023599186186703,0.000161536012136423,8.8031735760818e-05,1.39841369465683e-05,NA
