"time","tempDegC_heat00_1","tempDegC_heat00_2","tempDegC_heat00_3","tempDegC_heat00_4","tempDegC_heat00_5","tempDegC_heat00_6","tempDegC_heat00_7","tempDegC_heat00_8","tempDegC_heat00_9","tempDegC_heat00_10","tempDegC_heat00_11","tempDegC_heat00_12","tempDegC_heat00_13","tempDegC_heat00_14","tempDegC_heat00_15","tempDegC_heat00_16","tempDegC_heat00_17","tempDegC_heat00_18","tempDegC_heat00_19","tempDegC_heat00_20","tempDegC_heat00_21","tempDegC_heat00_22","tempDegC_heat00_23","tempDegC_heat00_24","tempDegC_heat00_25"
2009-06-04 00:00:00,11.5572107568575,11.71590973693,11.7167707975756,11.3915582929093,11.1158953996357,10.932863022063,10.8078110087872,10.7046795856181,10.5810388920818,10.3453343824162,9.86070770599804,9.32533321472913,8.81450175276738,8.32373834522931,7.84398274382067,7.37397772365469,6.9157638489061,6.47106291073881,6.0401373878431,5.62189666678538,5.21426368163904,4.81493052769961,4.42216652369729,4.0336128941596,3.64763767914509
2009-06-04 01:00:00,11.4672752039331,11.6500076372637,11.6500076538388,11.3944998731056,11.1238030441419,10.9388821821754,10.8102687955146,10.702372984539,10.5718908022061,10.3305371036995,9.85740859872364,9.32677214471089,8.81587052017825,8.32455862489476,7.84474920100824,7.37495474521298,6.91696803915985,6.47240616994538,6.04150816380114,5.62319320002003,5.21540530101089,4.81585183846675,4.42281598167865,4.03395092094237,3.64763768000615
2009-06-04 02:00:00,11.3814664616888,11.5704763199172,11.5758648250522,11.3930630371185,11.130932030606,10.9446316239971,10.8125408342902,10.6999170300138,10.562938299126,10.3165864521045,9.85372251202971,9.32790538227964,8.81719905461093,8.32541159277917,7.84553585115032,7.37593357147403,6.91816460760721,6.47373848346859,6.04286763111258,5.62447942077202,5.21653818180837,4.81676623516077,4.42346015439128,4.03428549549327,3.64763768086722
2009-06-04 03:00:00,11.2936501586203,11.4910057656039,11.4970860884227,11.387186186926,11.1370424479171,10.9500688882755,10.8146292802012,10.6973427290119,10.5541889118608,10.3034035565915,9.84972050733221,9.32874620700073,8.81847533959125,8.32629102481608,7.84634206484272,7.37691487299393,6.91935409037987,6.47506014982834,6.04421595149993,5.62575541605408,5.21766235763035,4.81767369868876,4.42409907623018,4.03461681103107,3.64763768172829
2009-06-04 04:00:00,11.1962706372979,11.4031629371105,11.4040256900161,11.4040254083786,11.141930473099,10.9551404595172,10.8165335702215,10.6946743126035,10.5456476042032,10.2909175070517,9.84546274259153,9.32930940222452,8.81968941834903,8.32719074863007,7.84716690302012,7.3778991988515,6.9205370101955,6.47637147567009,6.0455532927804,5.62702127521145,5.21877786308002,4.81857422319218,4.4247327923929,4.03494501984453,3.64763768258936
2009-06-04 05:00:00,11.1303609404949,11.3310280059752,11.3381451089815,11.3462909662059,11.1474652572154,10.9598803489862,10.8182541660865,10.6919308041031,10.5373169914073,10.2790647137785,9.84100012891627,9.32961061993249,8.8208332016029,8.32810475030903,7.84800916012788,7.37888697196483,6.92171386904171,6.47767277335069,6.04687982859176,5.62827709024683,5.21988473526945,4.81946781409096,4.42536135357029,4.03527024392012,3.64763768345043
2009-06-04 06:00:00,11.1070471490501,11.2682806208318,11.2756785193087,11.2843569640532,11.1490936585774,10.9650708306441,10.8205114340282,10.6896894044616,10.5296342537161,10.2681272929472,9.83663895917502,9.3298702839046,8.82205896125994,8.32915046761091,7.8489630737059,7.37995276689948,6.92294281506535,6.47900913864981,6.04823050760621,5.62954995310623,5.22100397664986,4.82037076219093,4.42599745033437,4.03560239513509,3.64764750393844
2009-06-04 07:00:00,11.1468957443267,11.2287067019131,11.2327084735577,11.2382580467794,11.150273014917,10.9727883861624,10.8251763966897,10.6894346794166,10.523743195356,10.2589439085141,9.83310680085803,9.33064158671098,8.82377917563175,8.33064681669181,7.85027913566178,7.3812926798427,6.92437656333558,6.48049923843302,6.04969750425618,5.63091146890904,5.22219121684726,4.82132628635603,4.42667471786769,4.03596789665876,3.647693162017
2009-06-04 08:00:00,11.2532525155533,11.2291499266802,11.2237135824824,11.2253519717613,11.1540067184557,10.9840655258697,10.8331775633138,10.6919322353691,10.5202325587186,10.2519290520167,9.83079206920125,9.33221889541024,8.82620726999903,8.33275787772636,7.85208752130549,7.38300962387059,6.92609573612611,6.48220595869853,6.05132983160675,5.63239985637475,5.22347627522836,4.82235761957094,4.42741135921504,4.0363817656811,3.64778843642288
2009-06-04 09:00:00,11.4289197464643,11.2703543606775,11.2537334095693,11.2473855702215,11.1626337413065,10.9988263413291,10.8444234315833,10.6971532602104,10.5190779282803,10.2470268556517,9.8297083380355,9.33460826057733,8.82933411440835,8.33547442433663,7.85438348170159,7.38510173757179,6.92809967054268,6.48412911922005,6.05312756588229,5.63401536560603,5.22485954038153,4.82346516786271,4.42820793266533,4.03684537313163,3.64793320526436
2009-06-04 10:00:00,11.6777876890543,11.3584577657449,11.3475318982199,11.2681100107718,11.1786561766171,11.0173806003844,10.8589777915554,10.7051720414544,10.5203371317946,10.2442511737199,9.82991581402725,9.33785434831567,8.83318185434707,8.33881111620707,7.85718046183613,7.38758124981334,6.93039869557577,6.48627711021878,6.05509745382788,5.63576343542672,5.22634544259513,4.82465251101023,4.42906751364193,4.03736173013894,3.64812925670663
