"time","diffM2s-1_1","diffM2s-1_2","diffM2s-1_3","diffM2s-1_4","diffM2s-1_5","diffM2s-1_6","diffM2s-1_7","diffM2s-1_8","diffM2s-1_9","diffM2s-1_10","diffM2s-1_11","diffM2s-1_12","diffM2s-1_13","diffM2s-1_14","diffM2s-1_15","diffM2s-1_16","diffM2s-1_17","diffM2s-1_18","diffM2s-1_19","diffM2s-1_20","diffM2s-1_21","diffM2s-1_22","diffM2s-1_23","diffM2s-1_24","diffM2s-1_25"
2009-06-04 00:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.65276987719146e-05,2.40572604862226e-05,2.62763636189048e-05,2.7049493570991e-05,2.16052723414259e-05,1.49323002409916e-05,1.08235788513754e-05,1.08749846958815e-05,1.12947497997559e-05,1.17460944649492e-05,1.23290154303428e-05,1.30707899669778e-05,1.39639311403512e-05,1.50099936244453e-05,1.62361002208741e-05,1.77100711320042e-05,1.95694235030596e-05,2.21028796498867e-05,2.60202817742001e-05,3.37922678241722e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 01:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.47606118239137e-05,2.61335863186393e-05,2.63928610701901e-05,2.12227799680732e-05,1.48449719042053e-05,1.09129766459692e-05,1.0888648397054e-05,1.1294038426043e-05,1.17485202900672e-05,1.23317552267942e-05,1.30718420674863e-05,1.39631121640347e-05,1.50076468508759e-05,1.62325825620555e-05,1.77056130082327e-05,1.95640928274638e-05,2.20965342080716e-05,2.60123407546321e-05,3.37807170200165e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 02:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.72805499898251e-05,2.60465805765068e-05,2.58290562482968e-05,2.08707089593744e-05,1.47675257762803e-05,1.09981759748957e-05,1.09044011194236e-05,1.12940781275772e-05,1.17508424227564e-05,1.23344122973162e-05,1.3072897582528e-05,1.39623257316854e-05,1.50053345568766e-05,1.62290933387956e-05,1.77011763352661e-05,1.95587775293208e-05,2.20901959657503e-05,2.6004396925959e-05,3.37692000532608e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 03:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.51770295815873e-05,2.61381847123503e-05,2.53453946672618e-05,2.05470807832902e-05,1.46986671254286e-05,1.10793467174808e-05,1.09219356238464e-05,1.12948820519693e-05,1.17530982767424e-05,1.2336989940069e-05,1.30739535434298e-05,1.3961570262889e-05,1.50030562712916e-05,1.62256325394625e-05,1.76967612340095e-05,1.95534775245214e-05,2.20838647839575e-05,2.59964529490322e-05,3.37577197603699e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 04:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.65457880663958e-05,2.49411908229906e-05,2.02501189292875e-05,1.46373149990396e-05,1.11566613316852e-05,1.09409849356966e-05,1.12964516247486e-05,1.17553227422382e-05,1.23394927053986e-05,1.30750073832176e-05,1.39608441656427e-05,1.50008114811131e-05,1.62222001285891e-05,1.76923678028934e-05,1.95481927426385e-05,2.20775407290378e-05,2.59885113268223e-05,3.37462774960118e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 05:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.95560505013012e-05,2.46166643462966e-05,1.99784002680888e-05,1.45825667783703e-05,1.12302935409009e-05,1.09613163975783e-05,1.12987790688601e-05,1.1757547963932e-05,1.23419261854823e-05,1.30760569555406e-05,1.39601458575073e-05,1.49985996346046e-05,1.62187960458761e-05,1.76879961202563e-05,1.95429231363865e-05,2.20712240293993e-05,2.59805743266762e-05,3.37348736816314e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 06:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.44711275430134e-05,1.9732422364632e-05,1.45336860563221e-05,1.130041733629e-05,1.09827267866452e-05,1.13018494686096e-05,1.17598032304609e-05,1.23442968148574e-05,1.30771005425341e-05,1.39594737854685e-05,1.49964201453827e-05,1.62154202060515e-05,1.7683646246219e-05,1.95376686864991e-05,2.20649150360654e-05,2.59726439557327e-05,3.3723508160415e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 07:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.45348195420217e-05,1.95040515543346e-05,1.44868612598537e-05,1.13660225547624e-05,1.10042286824455e-05,1.13049889345371e-05,1.17615699034384e-05,1.23461470357858e-05,1.3077731979678e-05,1.3958467364498e-05,1.49939493372008e-05,1.62117774873302e-05,1.76790431666662e-05,1.95321640593268e-05,2.20583421190193e-05,2.59644071351211e-05,3.37116897760613e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 08:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.46317088650683e-05,1.92681724854898e-05,1.4433359766529e-05,1.14240761795252e-05,1.10235202467518e-05,1.13064572498524e-05,1.17614408109817e-05,1.23462636268618e-05,1.30768862324996e-05,1.39561810816386e-05,1.49903368002997e-05,1.6207091232063e-05,1.76734622855067e-05,1.95257095755336e-05,2.20507876021609e-05,2.59550339682541e-05,3.36981208329131e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 09:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.46243617825809e-05,1.90128775855141e-05,1.43689530321867e-05,1.1472924088366e-05,1.10393186862237e-05,1.13053424949497e-05,1.1758700824315e-05,1.23440245942759e-05,1.30740129042241e-05,1.39521251825742e-05,1.49851415452577e-05,1.62009579376472e-05,1.76665260987909e-05,1.95179395143193e-05,2.20418753850239e-05,2.59440899002939e-05,3.36821169895887e-05,3.71901732737086e-05,3.71901732737086e-05
