"doy.f","pond","mean_canopy"
"129","F",0.733333333333333
"143","F",1
"150","F",1.6
"157","F",1.48333333333333
"166","F",1.42333333333333
"171","F",1.4
"178","F",1.43333333333333
"186","F",1.4
"192","F",1.28333333333333
"199","F",1.01666666666667
"206","F",1.28333333333333
"213","F",0.95
"220","F",0.783333333333333
"228","F",0.35
"234","F",0.333333333333333

