date_time,doy,wind_speed,gust_speed,par,wind_z
5/23/2020 18:00,144,1.01,5.03,836.2,4
5/23/2020 18:30,144,1.51,4.53,611.2,4
5/23/2020 19:00,144,1.01,3.52,441.2,4
5/23/2020 19:30,144,0.5,3.02,263.7,4
5/23/2020 20:00,144,0,2.01,71.2,4
5/23/2020 20:30,144,0,1.51,13.7,4
5/23/2020 21:00,144,0,0,1.2,4
5/23/2020 21:30,144,0,0.5,1.2,4
5/23/2020 22:00,144,0,0,1.2,4
5/23/2020 22:30,144,0,0,1.2,4
5/23/2020 23:00,144,0,0,1.2,4
5/23/2020 23:30,144,0,0,1.2,4
5/24/2020 0:00,145,0,0,1.2,4
5/24/2020 0:30,145,0,0,1.2,4
5/24/2020 1:00,145,0,0,1.2,4
5/24/2020 1:30,145,0,0.5,1.2,4
5/24/2020 2:00,145,0,0,1.2,4
5/24/2020 2:30,145,0,0,1.2,4
5/24/2020 3:00,145,0,0,1.2,4
5/24/2020 3:30,145,0,0,1.2,4
5/24/2020 4:00,145,0,0,1.2,4
5/24/2020 4:30,145,0,1.51,1.2,4
5/24/2020 5:00,145,0,2.01,1.2,4
5/24/2020 5:30,145,0,2.52,1.2,4
5/24/2020 6:00,145,0,2.01,21.2,4
5/24/2020 6:30,145,0.5,3.02,61.2,4
5/24/2020 7:00,145,0.5,3.52,56.2,4
5/24/2020 7:30,145,0.5,3.02,98.7,4
5/24/2020 8:00,145,0,2.01,66.2,4
5/24/2020 8:30,145,1.51,8.56,6.2,4
5/24/2020 9:00,145,2.01,6.04,36.2,4
5/24/2020 9:30,145,1.01,4.03,93.7,4
5/24/2020 10:00,145,0.5,3.02,253.7,4
5/24/2020 10:30,145,0,2.01,411.2,4
5/24/2020 11:00,145,0.5,3.02,376.2,4
5/24/2020 11:30,145,0.5,3.02,281.2,4
5/24/2020 12:00,145,0,3.52,558.7,4
5/24/2020 12:30,145,1.51,4.53,373.7,4
5/24/2020 13:00,145,1.51,5.54,963.7,4
5/24/2020 13:30,145,2.01,6.54,1906.2,4
5/24/2020 14:00,145,2.01,6.04,2151.2,4
5/24/2020 14:30,145,2.01,6.54,1818.7,4
5/24/2020 15:00,145,2.01,6.54,1721.2,4
5/24/2020 15:30,145,2.01,6.54,1053.7,4
5/24/2020 16:00,145,1.51,6.54,741.2,4
5/24/2020 16:30,145,1.51,6.04,926.2,4
5/24/2020 17:00,145,1.51,5.03,501.2,4
5/24/2020 17:30,145,0.5,4.53,171.2,4
5/24/2020 18:00,145,0,2.01,211.2,4
5/24/2020 18:30,145,0,2.01,121.2,4
5/24/2020 19:00,145,0,1.51,81.2,4
5/24/2020 19:30,145,0,1.51,21.2,4
5/24/2020 20:00,145,0,2.52,13.7,4
5/24/2020 20:30,145,1.01,5.54,1.2,4
5/24/2020 21:00,145,0,2.01,1.2,4
5/24/2020 21:30,145,0,3.52,1.2,4
5/24/2020 22:00,145,0,2.52,1.2,4
5/24/2020 22:30,145,0,1.51,1.2,4
5/24/2020 23:00,145,0,1.51,1.2,4
5/24/2020 23:30,145,0,1.01,1.2,4
5/25/2020 0:00,146,0,1.01,1.2,4
5/25/2020 0:30,146,0,1.51,1.2,4
5/25/2020 1:00,146,0,1.01,1.2,4
5/25/2020 1:30,146,0,0.5,1.2,4
5/25/2020 2:00,146,0,0.5,1.2,4
5/25/2020 2:30,146,0,0,1.2,4
5/25/2020 3:00,146,0,0,1.2,4
5/25/2020 3:30,146,0,0,1.2,4
5/25/2020 4:00,146,0,1.51,1.2,4
5/25/2020 4:30,146,0,1.51,1.2,4
5/25/2020 5:00,146,0,2.52,1.2,4
5/25/2020 5:30,146,0,2.52,1.2,4
5/25/2020 6:00,146,0,2.01,1.2,4
5/25/2020 6:30,146,0,1.51,18.7,4
5/25/2020 7:00,146,0,2.01,71.2,4
5/25/2020 7:30,146,0.5,2.52,228.7,4
5/25/2020 8:00,146,0,2.52,388.7,4
5/25/2020 8:30,146,0,2.52,123.7,4
5/25/2020 9:00,146,0,2.52,296.2,4
5/25/2020 9:30,146,0.5,2.52,871.2,4
5/25/2020 10:00,146,0,2.01,966.2,4
5/25/2020 10:30,146,0.5,2.52,561.2,4
5/25/2020 11:00,146,0.5,3.02,1361.2,4
5/25/2020 11:30,146,0.5,3.52,1201.2,4
5/25/2020 12:00,146,1.01,3.52,2128.7,4
5/25/2020 12:30,146,1.01,4.03,1063.7,4
5/25/2020 13:00,146,1.01,3.02,1116.2,4
5/25/2020 13:30,146,1.01,4.03,711.2,4
5/25/2020 14:00,146,0.5,6.04,881.2,4
5/25/2020 14:30,146,0.5,4.03,1878.7,4
5/25/2020 15:00,146,1.01,4.53,808.7,4
5/25/2020 15:30,146,0,2.52,1611.2,4
5/25/2020 16:00,146,0,2.52,1033.7,4
5/25/2020 16:30,146,0,1.51,613.7,4
5/25/2020 17:00,146,0,2.01,521.2,4
5/25/2020 17:30,146,1.01,4.53,51.2,4
5/25/2020 18:00,146,0,2.52,71.2,4
5/25/2020 18:30,146,1.01,7.05,13.7,4
5/25/2020 19:00,146,0,2.01,3.7,4
5/25/2020 19:30,146,1.01,4.53,3.7,4
5/25/2020 20:00,146,1.01,5.54,13.7,4
5/25/2020 20:30,146,0.5,3.02,3.7,4
5/25/2020 21:00,146,0,1.51,1.2,4
5/25/2020 21:30,146,0,2.52,1.2,4
5/25/2020 22:00,146,0.5,3.02,1.2,4
5/25/2020 22:30,146,0,4.03,1.2,4
5/25/2020 23:00,146,0.5,2.52,1.2,4
5/25/2020 23:30,146,0,2.52,1.2,4
5/26/2020 0:00,147,0,2.52,1.2,4
5/26/2020 0:30,147,0,2.52,1.2,4
5/26/2020 1:00,147,0.5,2.52,1.2,4
5/26/2020 1:30,147,0,2.52,1.2,4
5/26/2020 2:00,147,0,2.52,1.2,4
5/26/2020 2:30,147,0,2.52,1.2,4
5/26/2020 3:00,147,0,2.52,1.2,4
5/26/2020 3:30,147,0,2.52,1.2,4
5/26/2020 4:00,147,0,1.51,1.2,4
5/26/2020 4:30,147,0,1.51,1.2,4
5/26/2020 5:00,147,0,1.51,1.2,4
5/26/2020 5:30,147,0,1.51,1.2,4
5/26/2020 6:00,147,0,1.51,26.2,4
5/26/2020 6:30,147,0,1.01,48.7,4
5/26/2020 7:00,147,0,2.01,146.2,4
5/26/2020 7:30,147,0,2.01,76.2,4
5/26/2020 8:00,147,0,1.51,121.2,4
5/26/2020 8:30,147,0,1.51,418.7,4
5/26/2020 9:00,147,0,1.51,461.2,4
5/26/2020 9:30,147,0.5,3.52,423.7,4
5/26/2020 10:00,147,0.5,3.52,738.7,4
5/26/2020 10:30,147,0.5,3.52,946.2,4
5/26/2020 11:00,147,1.01,3.02,923.7,4
5/26/2020 11:30,147,1.01,3.52,996.2,4
5/26/2020 12:00,147,1.01,3.52,1021.2,4
5/26/2020 12:30,147,1.01,4.03,1058.7,4
5/26/2020 13:00,147,1.01,5.03,1866.2,4
5/26/2020 13:30,147,1.01,4.03,848.7,4
5/26/2020 14:00,147,1.01,6.04,1001.2,4
5/26/2020 14:30,147,1.51,6.54,2373.7,4
5/26/2020 15:00,147,2.01,6.54,96.2,4
5/26/2020 15:30,147,2.01,7.55,316.2,4
5/26/2020 16:00,147,2.01,8.56,58.7,4
5/26/2020 16:30,147,0.5,7.55,148.7,4
5/26/2020 17:00,147,1.51,6.04,278.7,4
5/26/2020 17:30,147,0.5,4.03,806.2,4
5/26/2020 18:00,147,0.5,3.52,871.2,4
5/26/2020 18:30,147,1.01,4.53,326.2,4
5/26/2020 19:00,147,1.01,4.53,246.2,4
5/26/2020 19:30,147,1.01,5.03,198.7,4
5/26/2020 20:00,147,0.5,4.53,63.7,4
5/26/2020 20:30,147,1.01,5.03,13.7,4
5/26/2020 21:00,147,0,3.02,1.2,4
5/26/2020 21:30,147,0,1.01,1.2,4
