"datetime","diffM2s-2_0","diffM2s-2_1","diffM2s-2_2","diffM2s-2_3","diffM2s-2_4","diffM2s-2_5","diffM2s-2_6","diffM2s-2_7","diffM2s-2_8","diffM2s-2_9","diffM2s-2_10","diffM2s-2_11","diffM2s-2_12","diffM2s-2_13","diffM2s-2_14","diffM2s-2_15","diffM2s-2_16","diffM2s-2_17","diffM2s-2_18","diffM2s-2_19","diffM2s-2_20","diffM2s-2_21","diffM2s-2_22","diffM2s-2_23","diffM2s-2_24","diffM2s-2_25"
2009-06-05 00:00:00,1.09999997999211e-09,0.000832435209304094,1.47264145198278e-05,1.17678787319164e-05,1.23582258311217e-05,9.1787537712662e-06,7.32577154849423e-06,6.8843403369101e-06,7.04300214238174e-06,7.54683719605964e-06,8.43083716972615e-06,9.55139557845541e-06,1.07965470306226e-05,1.24124362628208e-05,1.42611938827031e-05,1.69494642250356e-05,2.03273702936713e-05,2.48708465733216e-05,3.12148049488314e-05,3.90060577046825e-05,4.91651517222635e-05,6.40255602775142e-05,9.03034488146659e-05,0.000164876582857687,0.000284226742223836,0.000311316165607423
2009-06-05 01:00:00,1.09999997999211e-09,0.00108795519918203,0.000128879529711412,1.14153403956152e-05,1.22354044833628e-05,9.18237765290542e-06,7.33965271138004e-06,6.89123589836527e-06,7.04699345988047e-06,7.55090923121315e-06,8.43328234623186e-06,9.55235964283929e-06,1.07967148323951e-05,1.24122088891454e-05,1.42604876600672e-05,1.69480954355095e-05,2.03251038328744e-05,2.48675178227131e-05,3.12104903059662e-05,3.90010263799923e-05,4.916034413327e-05,6.40245325485012e-05,9.0312441898277e-05,0.000164886412676424,0.000284330060821958,0.00031136313918978
2009-06-05 02:00:00,1.09999997999211e-09,0.00124657695414498,0.000591619736951543,1.04518576335977e-05,1.21080643111782e-05,9.18320711207343e-06,7.35312255528697e-06,6.89818193677638e-06,7.05100433151529e-06,7.55495852899912e-06,8.43574116515811e-06,9.55334371610661e-06,1.07968940028513e-05,1.24119801512279e-05,1.42597800731892e-05,1.69467211890151e-05,2.03228419195511e-05,2.48642018050305e-05,3.12061765725957e-05,3.89960041502491e-05,4.91555420012446e-05,6.40230155113386e-05,9.03184918570332e-05,0.000164896140631754,0.000284429741441272,0.000311397656332701
2009-06-05 03:00:00,1.09999997999211e-09,0.00144601525971666,0.000977274467004463,2.73277291853447e-05,1.19400724543084e-05,9.1810334197362e-06,7.36618176233605e-06,6.90516912982275e-06,7.05503634890192e-06,7.55898508941755e-06,8.43821226226282e-06,9.55434643401532e-06,1.07970845419914e-05,1.2411749594321e-05,1.42590720315638e-05,1.69453433045419e-05,2.03205818252172e-05,2.48608967012842e-05,3.1201866477204e-05,3.89909837394953e-05,4.91507271362934e-05,6.40209964331007e-05,9.03221771295648e-05,0.000164906850841362,0.000284522189758718,0.000311423122184351
2009-06-05 04:00:00,1.09999997999211e-09,0.00163238111417741,0.00147787993773818,0.000264442833213252,1.13869728011196e-05,9.17336365091614e-06,7.3788125973806e-06,6.91219042892044e-06,7.05909178577713e-06,7.56299027671048e-06,8.44069472805131e-06,9.55536825131276e-06,1.07972864498151e-05,1.24115185826668e-05,1.42583621709491e-05,1.69439636010793e-05,2.03183253688621e-05,2.48576034209691e-05,3.11975600197911e-05,3.89859651477309e-05,4.91458777105436e-05,6.40184880467132e-05,9.0324003394926e-05,0.000164916964422446,0.000284600391751155,0.0003114421851933
2009-06-05 05:00:00,1.09999997999211e-09,0.00189110165229067,0.00223392772022635,0.00084123486885801,1.56773367052665e-05,9.15146529223421e-06,7.39099596103188e-06,6.91924242346431e-06,7.06317132426193e-06,7.56697500037262e-06,8.44318856252357e-06,9.55640871325159e-06,1.07974997263227e-05,1.24112871162652e-05,1.42576509460923e-05,1.69425802596379e-05,2.03160716409911e-05,2.4854319235601e-05,3.11932599288411e-05,3.89809501939453e-05,4.91409828100586e-05,6.40155085420702e-05,9.03243635548279e-05,0.000164924742421135,0.000284660403849557,0.000311456999043003
2009-06-05 06:00:00,1.09999997999211e-09,0.00192366313422099,0.00298200221732259,0.00175361474975944,0.000109796353626734,9.0625621851359e-06,7.40274685995246e-06,6.92632397658599e-06,7.06727587385103e-06,7.57093971515133e-06,8.44569285618491e-06,9.5574678198318e-06,1.07977239167667e-05,1.24110556498636e-05,1.42569379022461e-05,1.69411932802177e-05,2.03138206416043e-05,2.48510450546746e-05,3.118896347587e-05,3.89759370591491e-05,4.91360297019128e-05,6.40120888419915e-05,9.0323530457681e-05,0.000164929260790814,0.000284702269709669,0.00031146890250966
2009-06-05 07:00:00,1.09999997999211e-09,0.00189854245400056,0.00328826275654137,0.00238048797473311,0.000567897877772339,8.68688857735833e-06,7.41274902793521e-06,6.93237302584748e-06,7.07060871718568e-06,7.57421730668284e-06,8.44758278617519e-06,9.55793939283467e-06,1.07973710328224e-05,1.24102266454429e-05,1.42556073114974e-05,1.69391078088665e-05,2.03107447305229e-05,2.48467295023147e-05,3.11832200168283e-05,3.89688921131892e-05,4.91280825372087e-05,6.4003612351371e-05,9.03126674529631e-05,0.00016490356210852,0.00028467299125623,0.000311461830278859
2009-06-05 08:00:00,1.09999997999211e-09,0.00185337266884744,0.00326097349170595,0.00269065902102739,0.000888284281245433,1.42242897709366e-05,7.41589565222966e-06,6.93633546688943e-06,7.07235494701308e-06,7.57612178858835e-06,8.44822079670848e-06,9.55720634010504e-06,1.07958417174814e-05,1.24081898320583e-05,1.42530311677547e-05,1.69356126207276e-05,2.03060026251478e-05,2.48402993747732e-05,3.11745498038363e-05,3.89577508030925e-05,4.91141472593881e-05,6.39853424218018e-05,9.02825850062072e-05,0.000164819895871915,0.000284517416730523,0.000311420735670254
2009-06-05 09:00:00,1.09999997999211e-09,0.00160242029232904,0.00262874702457339,0.00236008118372411,0.00100186018971726,4.74530677365692e-05,7.379634780591e-06,6.93947595209465e-06,7.07342519490339e-06,7.57741509005427e-06,8.44831583890482e-06,9.55595760387951e-06,1.07938062683388e-05,1.24056286949781e-05,1.42499116009276e-05,1.6931503523665e-05,2.03005365619902e-05,2.48329561145511e-05,3.11646153932088e-05,3.89448305213591e-05,4.90975780849112e-05,6.39626850897912e-05,9.02440224308521e-05,0.000164712517289445,0.00028430568636395,0.000311369018163532
2009-06-05 10:00:00,1.09999997999211e-09,0.00127784226788208,0.00178195623448119,0.00142073555616662,0.000645427833660506,0.000109901684481883,7.29970815882552e-06,6.94182563165668e-06,7.07354661244608e-06,7.57786165195284e-06,8.44764917928842e-06,9.55398218138725e-06,1.07910595943395e-05,1.24023349599156e-05,1.42460326060245e-05,1.69265367730986e-05,2.02940600502188e-05,2.48243350142729e-05,3.11529202008387e-05,3.89294436899945e-05,4.90773854835425e-05,6.39341815258376e-05,9.01948478713166e-05,0.000164581448188983,0.000284035268123262,0.000311301788315177
2009-06-05 11:00:00,1.09999997999211e-09,0.000720540818292648,0.000743084878195077,0.000469340171548538,0.0002000385284191,7.27147507859627e-05,6.87150418343663e-06,6.9421041644091e-06,7.07288313606114e-06,7.57760108172079e-06,8.44635042085429e-06,9.55140603764448e-06,1.07877235677734e-05,1.23984336823924e-05,1.42415224217984e-05,1.69208624356543e-05,2.02867449843325e-05,2.4814655262162e-05,3.11397761834087e-05,3.89120232284768e-05,4.90542042825837e-05,6.39008922007633e-05,9.01373714441434e-05,0.000164435616170522,0.00028372676752042,0.000311222014715895
2009-06-05 12:00:00,1.09999997999211e-09,0.000537309009814635,0.000323026688420214,0.000127742019685684,3.28364349115873e-05,2.16598973565851e-05,6.27609165348986e-06,6.93269248586148e-06,7.06489777257957e-06,7.57112707105989e-06,8.43929410621058e-06,9.54326469582156e-06,1.07789778667211e-05,1.23890222312184e-05,1.42313297146757e-05,1.69087625181419e-05,2.02718147193082e-05,2.47953048528871e-05,3.11132871502195e-05,3.88759672205197e-05,4.90040711156325e-05,6.38247565802885e-05,8.99981860129628e-05,0.000164057521033101,0.000282926848740317,0.000310994568280876
2009-06-05 13:00:00,1.09999997999211e-09,0.000542773617780767,0.00023897234495962,7.269450907188e-05,2.05443611775991e-05,1.83543652383378e-05,6.02901241109066e-06,6.90999240759993e-06,7.04582453181501e-06,7.55524956730369e-06,8.42351255414542e-06,9.52668324316619e-06,1.07620317066903e-05,1.2371257525956e-05,1.42125272759586e-05,1.68869255503523e-05,2.02453456950025e-05,2.47613006649772e-05,3.10665673168842e-05,3.8811682316009e-05,4.89131616632221e-05,6.36838394711958e-05,8.97347563295625e-05,0.000163316632097121,0.00028136171749793,0.000310555362375453
