,0
0,-0.8947717
1,-1.1650181
2,-1.3096437
3,-1.3998455
4,-1.9134003
5,-1.9525695
6,-2.0197706
7,-2.2721584
8,-2.6659644
9,-3.1368048
10,-3.239241
11,-3.2257218
12,-3.166595
13,-3.068512
14,-2.9464586
15,-2.8164265
16,-2.6877341
17,-2.56352
18,-2.4428346
19,-2.3217137
20,-2.1920183
21,-2.035606
22,-1.795598
23,-1.6727479
24,-1.6682229
25,-0.86493087
26,-1.1894836
27,-1.366184
28,-1.4514341
29,-1.8350847
30,-1.9321737
31,-2.0066383
32,-2.219413
33,-2.5661197
34,-2.9892325
35,-3.126667
36,-3.1427572
37,-3.1008365
38,-3.0128253
39,-2.8960435
40,-2.7683933
41,-2.6407611
42,-2.5173225
43,-2.3978195
44,-2.2789066
45,-2.1533177
46,-2.0047317
47,-1.781481
48,-1.66519
49,-1.6587553
50,-0.83442724
51,-1.192621
52,-1.3894458
53,-1.4816363
54,-1.6206726
55,-1.9066527
56,-1.9895973
57,-2.182727
58,-2.503227
59,-2.8961942
60,-3.054323
61,-3.0889924
62,-3.0579097
63,-2.976547
64,-2.8635862
65,-2.7379572
66,-2.6114798
67,-2.488973
68,-2.370598
69,-2.2533655
70,-2.1304846
71,-1.9866105
72,-1.7728975
73,-1.6604669
74,-1.6532964
75,-0.7968484
76,-1.1922992
77,-1.415248
78,-1.5118499
79,-1.569804
80,-1.8701333
81,-1.9589738
82,-2.130871
83,-2.4220746
84,-2.7842984
85,-2.9655638
86,-3.0243323
87,-3.0086684
88,-2.9368434
89,-2.8292196
90,-2.7061942
91,-2.5809176
92,-2.4591403
93,-2.3416255
94,-2.2258523
95,-2.1056008
96,-1.9666065
97,-1.7629533
98,-1.6545732
99,-1.6465111
100,-0.78892994
101,-1.1828452
102,-1.4029521
103,-1.5006475
104,-1.5541975
105,-1.8150628
106,-1.964398
107,-2.1403291
108,-2.4306085
109,-2.7865837
110,-2.9680758
111,-3.025365
112,-3.0074637
113,-2.9346852
114,-2.8273566
115,-2.7052672
116,-2.581137
117,-2.4604833
118,-2.3439481
119,-2.228923
120,-2.1090736
121,-1.9698684
122,-1.7644769
123,-1.6550429
124,-1.6473315
125,-0.81777644
126,-1.1653726
127,-1.3566456
128,-1.4468752
129,-1.5087075
130,-1.5843749
131,-2.0016184
132,-2.2068107
133,-2.5196736
134,-2.888532
135,-3.0504339
136,-3.081423
137,-3.043669
138,-2.9595406
139,-2.8476007
140,-2.7249837
